Domain,Type,Sponsoring Organisation,Date
.reise,generic,dotreise GmbH,2024-02-22
.reisen,generic,"New Cypress, LLC",2024-02-22
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2024-02-22
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2024-02-22
.rentals,generic,"Big Hollow,LLC",2024-02-22
.repair,generic,"Lone Sunset, LLC",2024-02-22
.report,generic,"Binky Glen, LLC",2024-02-22
.republican,generic,United TLD Holdco Ltd.,2024-02-22
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2024-02-22
.restaurant,generic,"Snow Avenue, LLC",2024-02-22
.review,generic,dot Review Limited,2024-02-22
.reviews,generic,"United TLD Holdco, Ltd.",2024-02-22
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2024-02-22
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2024-02-22
.rip,generic,United TLD Holdco Ltd.,2024-02-22
.rocks,generic,"United TLD Holdco, LTD.",2024-02-22
.rodeo,generic,Top Level Domain Holdings Limited,2024-02-22
.rsvp,generic,Charleston Road Registry Inc.,2024-02-22
.ruhr,generic,regiodot GmbH & Co. KG,2024-02-22
.ryukyu,generic,BusinessRalliart inc.,2024-02-22
.saarland,generic,dotSaarland GmbH,2024-02-22
.sale,generic,"United TLD Holdco, Ltd",2024-02-22
.samsung,generic,"SAMSUNG SDS CO., LTD",2024-02-22
.sap,generic,SAP AG,2024-02-22
.sarl,generic,"Delta Orchard, LLC",2024-02-22
.saxo,generic,Saxo Bank A/S,2024-02-22
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2024-02-22
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2024-02-22
.schmidt,generic,SALM S.A.S.,2024-02-22
.scholarships,generic,"Scholarships.com, LLC",2024-02-22
.school,generic,"Little Galley, LLC",2024-02-22
.schule,generic,"Outer Moon, LLC",2024-02-22
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2024-02-22
.science,generic,dot Science Limited,2024-02-22
.scot,generic,Dot Scot Registry Limited,2024-02-22
.services,generic,"Fox Castle, LLC",2024-02-22
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2024-02-22
.sexy,generic,"Uniregistry, Corp.",2024-02-22
.shiksha,generic,Afilias Limited,2024-02-22
.shoes,generic,"Binky Galley, LLC",2024-02-22
.shriram,generic,Shriram Capital Ltd.,2024-02-22
.singles,generic,"Fern Madison, LLC",2024-02-22
.site,generic,DotSite Inc.,2024-02-22
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2024-02-22
.social,generic,United TLD Holdco Ltd.,2024-02-22
.software,generic,"United TLD Holdco, Ltd",2024-02-22
.sohu,generic,Sohu.com Limited,2024-02-22
.solar,generic,"Ruby Town, LLC",2024-02-22
.solutions,generic,"Silver Cover, LLC",2024-02-22
.soy,generic,Charleston Road Registry Inc.,2024-02-22
.space,generic,DotSpace Inc.,2024-02-22
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2024-02-22
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2024-02-22
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2024-02-22
.style,generic,"Binky Moon, LLC",2024-02-22
.sucks,generic,Vox Populi Registry Inc.,2024-02-22
.supplies,generic,"Atomic Fields, LLC",2024-02-22
.supply,generic,"Half Falls, LLC",2024-02-22
.support,generic,"Grand Orchard, LLC",2024-02-22
.surf,generic,Top Level Domain Holdings Limited,2024-02-22
.surgery,generic,"Tin Avenue, LLC",2024-02-22
.suzuki,generic,SUZUKI MOTOR CORPORATION,2024-02-22
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2024-02-22
.systems,generic,"Dash Cypress, LLC",2024-02-22
.taipei,generic,Taipei City Government,2024-02-22
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2024-02-22
.tattoo,generic,"Uniregistry, Corp.",2024-02-22
.tax,generic,"Storm Orchard, LLC",2024-02-22
.tech,generic,Dot Tech LLC,2024-02-22
.technology,generic,"Auburn Falls, LLC",2024-02-22
.temasek,generic,Temasek Holdings (Private) Limited,2024-02-22
.tennis,generic,"Cotton Bloom, LLC",2024-02-22
.tickets,generic,Accent Media Limited,2024-02-22
.tienda,generic,"Victor Manor, LLC",2024-02-22
.tips,generic,"Corn Willow, LLC",2024-02-22
.tires,generic,"Dog Edge, LLC",2024-02-22
.tirol,generic,punkt Tirol GmbH,2024-02-22
.today,generic,"Pearl Woods, LLC",2024-02-22
.tokyo,generic,"GMO Registry, Inc.",2024-02-22
.tools,generic,"Pioneer North, LLC",2024-02-22
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2024-02-22
.toshiba,generic,TOSHIBA Corporation,2024-02-22
.tours,generic,"Sugar Station, LLC",2024-02-22
.town,generic,"Koko Moon, LLC",2024-02-22
.toys,generic,"Pioneer Orchard, LLC",2024-02-22
